CVCL_0110,1321N1,
CVCL_0080,A-673,
CVCL_6876,ACCS,
CVCL_1068,ACN,
CVCL_1072,ARH-77,
CVCL_2862,AZ-521,
CVCL_1081,BE-13,
CVCL_3360,BGC-823,
CVCL_2309,BICR 18,
CVCL_1090,BONNA-12,
CVCL_1102,Ca9-22,
CVCL_0235,Caki-2,
CVCL_1859,CCRF-HSB-2,
CVCL_1120,CGTH-W-1,
CVCL_1133,COLO 741,
CVCL_1996,COLO 775,
CVCL_1998,COLO 818,
CVCL_2010,COV434,
CVCL_1150,CTV-1,
CVCL_1154,D-263MG,
CVCL_2019,DM-3,
CVCL_1185,EB3 [Human Burkitt lymphoma],
CVCL_1194,EHEB,
CVCL_3509,ES-2,
CVCL_1658,EW-8,
CVCL_0270,G-401,
CVCL_3371,GLC-82,
CVCL_2050,GOS-3,
CVCL_2451,GR-M,
CVCL_1237,GT3TKB,
CVCL_4362,HBL-100,
CVCL_1243,HC-1,
CVCL_1273,HD-MY-Z,
CVCL_0027,Hep-G2,
CVCL_2255,HLF-a,
CVCL_0660,Hs 172.T,
CVCL_0698,Hs 229.T,
CVCL_0707,Hs 255.T,
CVCL_0711,Hs 274.T,
CVCL_0715,Hs 281.T,
CVCL_0726,Hs 343.T,
CVCL_0761,Hs 445,
CVCL_0814,Hs 600.T,
CVCL_0816,Hs 604.T,
CVCL_0819,Hs 606.T,
CVCL_0825,Hs 616.T,
CVCL_0827,Hs 618.T,
CVCL_0836,Hs 675.T,
CVCL_0846,Hs 688(A).T,
CVCL_0855,Hs 698.T,
CVCL_0878,Hs 737.T,
CVCL_0882,Hs 739.T,
CVCL_0888,Hs 742.T,
CVCL_0891,Hs 751.T,
CVCL_0928,Hs 819.T,
CVCL_0932,Hs 821.T,
CVCL_0933,Hs 822.T,
CVCL_0938,Hs 834.T,
CVCL_0941,Hs 839.T,
CVCL_0942,Hs 840.T,
CVCL_0959,Hs 863.T,
CVCL_0966,Hs 870.T,
CVCL_0979,Hs 888.T,
CVCL_0993,Hs 895.T,
CVCL_1031,Hs 934.T,
CVCL_1038,Hs 940.T,
CVCL_2526,HuNS1,
CVCL_1305,IM-9,
CVCL_2785,JHH-1,
CVCL_5992,JHU-028,
CVCL_4W58,JMU-RTK-2,
CVCL_1322,K5,
CVCL_2090,KCI-MOH1,
CVCL_3386,KE-97,
CVCL_2991,KMS-21-BM,
CVCL_3002,KP-1N,
CVCL_3003,KP-1NL,
CVCL_2094,KPL-1,
CVCL_3007,KYM-1,
CVCL_3958,LN-319,
CVCL_3960,LN-443,
CVCL_3962,LN-464,
CVCL_1397,MC/CAR,
CVCL_0622,MDA-MB-435S,
CVCL_1402,Mel Ho,
CVCL_1416,MKN28,
CVCL_2601,MM127,
CVCL_2605,MM370,
CVCL_1462,NCI-H1304,
CVCL_A472,NCI-H1339,
CVCL_A570,NCI-H513,
CVCL_1572,NCI-H630,
CVCL_1617,OC 315,
CVCL_1618,OC 316,
CVCL_1882,ONCO-DG-1,
CVCL_1628,OVCAR-5,
CVCL_3112,OVMIU,
CVCL_1637,Panc 05.04,
CVCL_1640,PC-14,
CVCL_2162,PLB-985,
CVCL_1657,RF-48,
CVCL_1665,RPMI-6666,
CVCL_2182,RS-5,
CVCL_1676,SBC-1,
CVCL_V613,SF172,
CVCL_1689,SF268,
CVCL_6950,SF767,
CVCL_0019,SH-SY5Y,
CVCL_0525,SK-HEP-1,
CVCL_1698,SK-MG-1,
CVCL_0530,SK-N-MC,
CVCL_1398,SK-N-MC-IXC,
CVCL_0631,SK-NEP-1,
CVCL_V606,SLR20,
CVCL_V610,SLR24,
CVCL_0535,SNB-19,
CVCL_4902,SSP-25,
CVCL_5594,SUM229PE,
CVCL_3799,SW527,
CVCL_1725,SW626,
CVCL_3605,T1-73,
CVCL_1740,TE 125.T,
CVCL_1743,TE 159.T,
CVCL_1762,TE-12,
CVCL_3806,TO 175.T,
CVCL_8006,TTC-642,
CVCL_0633,U-118MG,
CVCL_0022,U-87MG ATCC,
CVCL_0007,U-937,
CVCL_2814,YMB-1,
CVCL_2815,YMB-1-E,
